,TF-combo,Best Model ESC,Best Model DE,Best Model Differential,Is Differential
0,"klf4,oct4",conditional,multiplicative,additive,False
1,"klf4,sox2",multiplicative,multiplicative,additive,True
2,"klf4,klf4",additive,multiplicative,additive,True
3,"oct4,oct4",multiplicative,multiplicative,additive,False
4,"sox2,sox2",multiplicative,multiplicative,additive,True
5,"oct4,klf4",multiplicative,multiplicative,conditional,True
6,"sox2,klf4",additive,multiplicative,additive,True
7,"sox2,oct4",multiplicative,multiplicative,additive,False
8,"oct4,sox2",multiplicative,multiplicative,additive,False
9,"sox2,klf4,oct4",multiplicative,multiplicative,additive,True
10,"klf4,klf4,klf4",additive,additive,conditional,False
11,"klf4,sox2,oct4",multiplicative,multiplicative,additive,True
12,"sox2,oct4,klf4",multiplicative,multiplicative,additive,False
13,"sox2,sox2,sox2",multiplicative,multiplicative,additive,True
14,"klf4,oct4,sox2",multiplicative,multiplicative,additive,False
15,"oct4,oct4,oct4",multiplicative,multiplicative,additive,False
16,"oct4,sox2,klf4",multiplicative,multiplicative,conditional,True
17,"oct4,klf4,sox2",multiplicative,multiplicative,conditional,True
18,"foxa2,foxa2",additive,additive,additive,False
19,"gata4,sox17",multiplicative,multiplicative,additive,False
20,"gata4,foxa2",additive,additive,additive,True
21,"sox17,foxa2",additive,multiplicative,additive,False
22,"gata4,gata4",additive,additive,multiplicative,False
23,"foxa2,gata4",additive,additive,additive,True
24,"sox17,sox17",multiplicative,multiplicative,additive,True
25,"sox17,gata4",multiplicative,multiplicative,multiplicative,True
26,"foxa2,sox17",additive,multiplicative,additive,False
27,"sox17,gata4,foxa2",multiplicative,multiplicative,additive,False
28,"gata4,sox17,foxa2",multiplicative,multiplicative,multiplicative,False
29,"gata4,foxa2,sox17",additive,multiplicative,additive,False
30,"sox17,sox17,sox17",multiplicative,multiplicative,additive,True
31,"foxa2,foxa2,foxa2",additive,conditional,additive,False
32,"sox17,foxa2,gata4",multiplicative,multiplicative,additive,False
33,"foxa2,gata4,sox17",additive,multiplicative,additive,False
34,"foxa2,sox17,gata4",multiplicative,multiplicative,additive,False
35,"gata4,gata4,gata4",conditional,additive,conditional,False
